"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"59.14";"Projection de films cinématographiques"
"ACTIVITY";"Activité économique";"60.10";"Édition et diffusion de programmes radio"
"ACTIVITY";"Activité économique";"60.20";"Programmation de télévision et télédiffusion"
"ACTIVITY";"Activité économique";"60.2";"Programmation de télévision et télédiffusion"
"ACTIVITY";"Activité économique";"A38_EZ";"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
"ACTIVITY";"Activité économique";"16.29";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
"ACTIVITY";"Activité économique";"29.10";"Construction de véhicules automobiles"
"ACTIVITY";"Activité économique";"24.10Z";"Sidérurgie"
"ACTIVITY";"Activité économique";"41.1";"Promotion immobilière"
"ACTIVITY";"Activité économique";"23.61";"Fabrication d'éléments en béton pour la construction"
"ACTIVITY";"Activité économique";"32.20";"Fabrication d'instruments de musique"
"ACTIVITY";"Activité économique";"28.14";"Fabrication d'autres articles de robinetterie"
"ACTIVITY";"Activité économique";"26.3";"Fabrication d'équipements de communication"
"ACTIVITY";"Activité économique";"43.99";"Autres travaux de construction spécialisés n.c.a."
"ACTIVITY";"Activité économique";"32.50B";"Fabrication de lunettes"
"ACTIVITY";"Activité économique";"32.91Z";"Fabrication d'articles de brosserie"
"ACTIVITY";"Activité économique";"26.80";"Fabrication de supports magnétiques et optiques"
"ACTIVITY";"Activité économique";"C22";"Fabrication de produits en caoutchouc et en plastique"
"ACTIVITY";"Activité économique";"C16";"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
"ACTIVITY";"Activité économique";"13.92";"Fabrication d'articles textiles, sauf habillement"
"ACTIVITY";"Activité économique";"MIG_CAG";"MIG - biens d'équipement"
"ACTIVITY";"Activité économique";"G453";"Commerce d'équipements automobiles"
"ACTIVITY";"Activité économique";"14.13";"Fabrication de vêtements de dessus"
"ACTIVITY";"Activité économique";"25.94Z";"Fabrication de vis et de boulons"
"ACTIVITY";"Activité économique";"G";"Commerce ; réparation d'automobiles et de motocycles"
"ACTIVITY";"Activité économique";"33.14Z";"Réparation d'équipements électriques"
"ACTIVITY";"Activité économique";"23.7";"Taille, façonnage et finissage de pierres"
"ACTIVITY";"Activité économique";"16.1";"Sciage et rabotage du bois"
"ACTIVITY";"Activité économique";"A38_CE";"Industrie chimique"
"ACTIVITY";"Activité économique";"C25";"Fabrication de produits métalliques, à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"G451";"Commerce de véhicules automobiles"
"ACTIVITY";"Activité économique";"24.5";"Fonderie"
"ACTIVITY";"Activité économique";"23.31";"Fabrication de carreaux en céramique"
"ACTIVITY";"Activité économique";"30.2";"Construction de locomotives et d'autre matériel ferroviaire roulant"
"ACTIVITY";"Activité économique";"28.1";"Fabrication de machines d'usage général"
"ACTIVITY";"Activité économique";"28.22Z";"Fabrication de matériel de levage et de manutention"
"ACTIVITY";"Activité économique";"08.1";"Extraction de pierres, de sables et d'argiles"
"ACTIVITY";"Activité économique";"18.12Z";"Autre imprimerie (labeur)"
"ACTIVITY";"Activité économique";"C13";"Fabrication de textiles"
"ACTIVITY";"Activité économique";"A88_43";"Travaux de construction spécialisés"
"ACTIVITY";"Activité économique";"23.32";"Fabrication de briques, tuiles et produits de construction, en terre cuite"
"ACTIVITY";"Activité économique";"26.20";"Fabrication d'ordinateurs et d'équipements périphériques"
"ACTIVITY";"Activité économique";"14.11Z";"Fabrication de vêtements en cuir"
"ACTIVITY";"Activité économique";"C33";"Réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"13.93";"Fabrication de tapis et moquettes"
"ACTIVITY";"Activité économique";"G4791";"Vente à distance"
"ACTIVITY";"Activité économique";"20.60";"Fabrication de fibres artificielles ou synthétiques"
"ACTIVITY";"Activité économique";"G4719";"Autre commerce de détail en magasin non spécialisé"
"ACTIVITY";"Activité économique";"MIG_ING";"MIG - biens intermédiaires"
"ACTIVITY";"Activité économique";"23.63";"Fabrication de béton prêt à l'emploi"
"ACTIVITY";"Activité économique";"38.32";"Récupération de déchets triés"
"ACTIVITY";"Activité économique";"10.3";"Transformation et conservation de fruits et légumes"
"ACTIVITY";"Activité économique";"31.02Z";"Fabrication de meubles de cuisine"
"ACTIVITY";"Activité économique";"G479";"Commerce de détail hors magasin, éventaires ou marchés"
"ACTIVITY";"Activité économique";"20.42Z";"Fabrication de parfums et de produits pour la toilette"
"ACTIVITY";"Activité économique";"24.2";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"ACTIVITY";"Activité économique";"10.31";"Transformation et conservation de pommes de terre"
"ACTIVITY";"Activité économique";"C21";"Industrie pharmaceutique"
"ACTIVITY";"Activité économique";"33.20";"Installation de machines et d'équipements industriels"
"ACTIVITY";"Activité économique";"C26";"Fabrication de produits informatiques, électroniques et optiques"
"ACTIVITY";"Activité économique";"38.3";"Récupération"
"ACTIVITY";"Activité économique";"11.02A";"Fabrication de vins effervescents"
"ACTIVITY";"Activité économique";"90.04";"Gestion de salles de spectacles"
"ACTIVITY";"Activité économique";"45.11";"Commerce de voitures et de véhicules automobiles légers"
"ACTIVITY";"Activité économique";"95.11";"Réparation d'ordinateurs et d'équipements périphériques"
"ACTIVITY";"Activité économique";"22.23";"Fabrication d'éléments en matières plastiques pour la construction"
"ACTIVITY";"Activité économique";"24.53Z";"Fonderie de métaux légers"
"ACTIVITY";"Activité économique";"27.5";"Fabrication d'appareils ménagers"
"ACTIVITY";"Activité économique";"A88_37";"Collecte et traitement des eaux usées"
"ACTIVITY";"Activité économique";"10.51";"Exploitation de laiteries et fabrication de fromage"
"ACTIVITY";"Activité économique";"28.91";"Fabrication de machines pour la métallurgie"
"ACTIVITY";"Activité économique";"25.92";"Fabrication d'emballages métalliques légers"
"ACTIVITY";"Activité économique";"32.3";"Fabrication d'articles de sport"
"ACTIVITY";"Activité économique";"18.14";"Reliure et activités connexes"
"ACTIVITY";"Activité économique";"A17_DE";"Industries extractives, énergie, eau, gestion des déchets et dépollution"
"ACTIVITY";"Activité économique";"B08";"Autres industries extractives"
"ACTIVITY";"Activité économique";"14.31Z";"Fabrication d'articles chaussants à mailles"
"ACTIVITY";"Activité économique";"28.30Z";"Fabrication de machines agricoles et forestières"
"ACTIVITY";"Activité économique";"20.11Z";"Fabrication de gaz industriels"
"ACTIVITY";"Activité économique";"46.38";"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques"
"ACTIVITY";"Activité économique";"93";"Activités sportives, récréatives et de loisirs"
"ACTIVITY";"Activité économique";"33.20D";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
"ACTIVITY";"Activité économique";"32.91";"Fabrication d'articles de brosserie"
"ACTIVITY";"Activité économique";"25.7";"Fabrication de coutellerie, d'outillage et de quincaillerie"
"ACTIVITY";"Activité économique";"29.31";"Fabrication d'équipements électriques et électroniques automobiles"
"ACTIVITY";"Activité économique";"11.01Z";"Production de boissons alcooliques distillées"
"ACTIVITY";"Activité économique";"26.20Z";"Fabrication d'ordinateurs et d'équipements périphériques"
"ACTIVITY";"Activité économique";"11.07B";"Production de boissons rafraîchissantes"
"ACTIVITY";"Activité économique";"22.11";"Fabrication et rechapage de pneumatiques"
"ACTIVITY";"Activité économique";"27.12";"Fabrication de matériel de distribution et de commande électrique"
"ACTIVITY";"Activité économique";"24.32Z";"Laminage à froid de feuillards"
"ACTIVITY";"Activité économique";"30.30Z";"Construction aéronautique et spatiale"
"ACTIVITY";"Activité économique";"22.29A";"Fabrication de pièces techniques à base de matières plastiques"
"ACTIVITY";"Activité économique";"10.83";"Transformation du thé et du café"
"ACTIVITY";"Activité économique";"33.16";"Réparation et maintenance d'aéronefs et d'engins spatiaux"
"ACTIVITY";"Activité économique";"08.9";"Activités extractives n.c.a."
"ACTIVITY";"Activité économique";"28.92";"Fabrication de machines pour l'extraction ou la construction"
"ACTIVITY";"Activité économique";"23.43";"Fabrication d'isolateurs et pièces isolantes en céramique"
"ACTIVITY";"Activité économique";"32.5";"Fabrication d'instruments et de fournitures à usage médical et dentaire"
"ACTIVITY";"Activité économique";"28.94";"Fabrication de machines pour les industries textiles"
"ACTIVITY";"Activité économique";"20.60Z";"Fabrication de fibres artificielles ou synthétiques"
"ACTIVITY";"Activité économique";"33.2";"Installation de machines et d'équipements industriels"
"ACTIVITY";"Activité économique";"29.3";"Fabrication d'équipements automobiles"
"ACTIVITY";"Activité économique";"08.93";"Production de sel"
"ACTIVITY";"Activité économique";"17.22Z";"Fabrication d'articles en papier à usage sanitaire ou domestique"
"ACTIVITY";"Activité économique";"23.63Z";"Fabrication de béton prêt à l'emploi"
"ACTIVITY";"Activité économique";"A17_C1";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"ACTIVITY";"Activité économique";"23.20";"Fabrication de produits réfractaires"
"ACTIVITY";"Activité économique";"26.51";"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation"
"ACTIVITY";"Activité économique";"25.99";"Fabrication d'autres produits métalliques n.c.a."
"ACTIVITY";"Activité économique";"08.12Z";"Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
"ACTIVITY";"Activité économique";"11.0";"Fabrication de boissons"
"ACTIVITY";"Activité économique";"10.31Z";"Transformation et conservation de pommes de terre"
"ACTIVITY";"Activité économique";"33.20B";"Installation de machines et équipements mécaniques"
"ACTIVITY";"Activité économique";"68.20";"Location et exploitation de biens immobiliers propres ou loués"
"ACTIVITY";"Activité économique";"15.1";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie"
"ACTIVITY";"Activité économique";"MIG_NRGXD_E";"MIG - énergie (sauf sections D et E)"
"ACTIVITY";"Activité économique";"20.14";"Fabrication d'autres produits chimiques organiques de base"
"ACTIVITY";"Activité économique";"M71";"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques"
"ACTIVITY";"Activité économique";"22.11Z";"Fabrication et rechapage de pneumatiques"
"ACTIVITY";"Activité économique";"21.2";"Fabrication de préparations pharmaceutiques"
"ACTIVITY";"Activité économique";"31.09A";"Fabrication de sièges d'ameublement d'intérieur"
"ACTIVITY";"Activité économique";"10.13B";"Charcuterie"
"ACTIVITY";"Activité économique";"33.19";"Réparation d'autres équipements"
"ACTIVITY";"Activité économique";"28.24Z";"Fabrication d'outillage portatif à moteur incorporé"
"ACTIVITY";"Activité économique";"68.10";"Activités des marchands de biens immobiliers"
"ACTIVITY";"Activité économique";"29.2";"Fabrication de carrosseries et remorques"
"ACTIVITY";"Activité économique";"C23";"Fabrication d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"41.2";"Construction de bâtiments résidentiels et non résidentiels"
"ACTIVITY";"Activité économique";"26.52Z";"Horlogerie"
"ACTIVITY";"Activité économique";"41.20";"Construction de bâtiments résidentiels et non résidentiels"
"ACTIVITY";"Activité économique";"C31";"Fabrication de meubles"
"ACTIVITY";"Activité économique";"42.99Z";"Construction d'autres ouvrages de génie civil n.c.a."
"ACTIVITY";"Activité économique";"28.12";"Fabrication d'équipements hydrauliques et pneumatiques"
"ACTIVITY";"Activité économique";"14.11";"Fabrication de vêtements en cuir"
"ACTIVITY";"Activité économique";"23.6";"Fabrication d'ouvrages en béton, en ciment ou en plâtre"
"ACTIVITY";"Activité économique";"28.3";"Fabrication de machines agricoles et forestières"
"ACTIVITY";"Activité économique";"10.82Z";"Fabrication de cacao, chocolat et de produits de confiserie"
"ACTIVITY";"Activité économique";"28.14Z";"Fabrication d'autres articles de robinetterie"
"ACTIVITY";"Activité économique";"21.20";"Fabrication de préparations pharmaceutiques"
"ACTIVITY";"Activité économique";"13.96";"Fabrication d'autres textiles techniques et industriels"
"ACTIVITY";"Activité économique";"C19";"Cokéfaction et raffinage"
"ACTIVITY";"Activité économique";"20.4";"Fabrication de savons, de produits d'entretien et de parfums"
"ACTIVITY";"Activité économique";"C28";"Fabrication de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"71.1";"Activités d'architecture et d'ingénierie"
"ACTIVITY";"Activité économique";"70.21";"Conseil en relations publiques et communication"
"ACTIVITY";"Activité économique";"13.30";"Ennoblissement textile"
"ACTIVITY";"Activité économique";"16.29Z";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
"ACTIVITY";"Activité économique";"27.3";"Fabrication de fils et câbles et de matériel d'installation électrique"
"ACTIVITY";"Activité économique";"70.22";"Conseil pour les affaires et autres conseils de gestion"
"ACTIVITY";"Activité économique";"17.1";"Fabrication de pâte à papier, de papier et de carton"
"ACTIVITY";"Activité économique";"26.51B";"Fabrication d'instrumentation scientifique et technique"
"ACTIVITY";"Activité économique";"24.51Z";"Fonderie de fonte"
"ACTIVITY";"Activité économique";"17.29Z";"Fabrication d'autres articles en papier ou en carton"
"ACTIVITY";"Activité économique";"63.91";"Activités des agences de presse"
"ACTIVITY";"Activité économique";"43.39Z";"Autres travaux de finition"
"ACTIVITY";"Activité économique";"24.52";"Fonderie d'acier"
"ACTIVITY";"Activité économique";"32.99Z";"Autres activités manufacturières n.c.a."
"ACTIVITY";"Activité économique";"43.11";"Travaux de démolition"
"ACTIVITY";"Activité économique";"43.12";"Travaux de préparation des sites"
"ACTIVITY";"Activité économique";"08.91Z";"Extraction des minéraux chimiques et d'engrais minéraux"
"ACTIVITY";"Activité économique";"22.2";"Fabrication de produits en plastique"
"ACTIVITY";"Activité économique";"24.54Z";"Fonderie d'autres métaux non ferreux"
"ACTIVITY";"Activité économique";"20.41";"Fabrication de savons, détergents et produits d'entretien"
"ACTIVITY";"Activité économique";"23.52Z";"Fabrication de chaux et plâtre"
"ACTIVITY";"Activité économique";"A38_CM";"Autres industries manufacturières ; réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"10.61";"Travail des grains"
"ACTIVITY";"Activité économique";"23.11Z";"Fabrication de verre plat"
"ACTIVITY";"Activité économique";"11.07";"Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes"
"ACTIVITY";"Activité économique";"10.72Z";"Fabrication de biscuits, biscottes et pâtisseries de conservation"
"ACTIVITY";"Activité économique";"28.15";"Fabrication d'engrenages et d'organes mécaniques de transmission"
"ACTIVITY";"Activité économique";"10.12";"Transformation et conservation de la viande de volaille"
"ACTIVITY";"Activité économique";"11.02";"Production de vin (de raisin)"
"ACTIVITY";"Activité économique";"13.10";"Préparation de fibres textiles et filature"
"ACTIVITY";"Activité économique";"26.52";"Horlogerie"
"ACTIVITY";"Activité économique";"25.9";"Fabrication d'autres ouvrages en métaux"
"ACTIVITY";"Activité économique";"32.30Z";"Fabrication d'articles de sport"
"ACTIVITY";"Activité économique";"28.29";"Fabrication de machines diverses d'usage général"
"ACTIVITY";"Activité économique";"24.53";"Fonderie de métaux légers"
"ACTIVITY";"Activité économique";"30.30";"Construction aéronautique et spatiale"
"ACTIVITY";"Activité économique";"43.34Z";"Travaux de peinture et vitrerie"
"ACTIVITY";"Activité économique";"22.1";"Fabrication de produits en caoutchouc"
"ACTIVITY";"Activité économique";"63.11";"Traitement de données, hébergement et activités connexes"
"ACTIVITY";"Activité économique";"68";"Activités immobilières"
"ACTIVITY";"Activité économique";"68.1";"Activités des marchands de biens immobiliers"
"ACTIVITY";"Activité économique";"68.2";"Location et exploitation de biens immobiliers propres ou loués"
"ACTIVITY";"Activité économique";"62.09";"Autres activités informatiques"
"ACTIVITY";"Activité économique";"J63";"Services d'information"
"ACTIVITY";"Activité économique";"63.1";"Traitement de données, hébergement et activités connexes ; portails Internet"
"ACTIVITY";"Activité économique";"63.99";"Autres services d'information n.c.a."
"ACTIVITY";"Activité économique";"70.1";"Activités des sièges sociaux"
"ACTIVITY";"Activité économique";"63.12";"Portails Internet"
"ACTIVITY";"Activité économique";"68.31";"Agences immobilières"
"ACTIVITY";"Activité économique";"68.3";"Activités immobilières pour compte de tiers"
"ACTIVITY";"Activité économique";"63.9";"Autres services d'information"
"ACTIVITY";"Activité économique";"70";"Activités des sièges sociaux ; conseil de gestion"
"ACTIVITY";"Activité économique";"69.20";"Activités comptables"
"ACTIVITY";"Activité économique";"69.2";"Activités comptables"
"ACTIVITY";"Activité économique";"69.1";"Activités juridiques"
"ACTIVITY";"Activité économique";"69.10";"Activités juridiques"
"ACTIVITY";"Activité économique";"68.32";"Administration de biens immobiliers"
"ACTIVITY";"Activité économique";"71.12";"Activités d'ingénierie"
"ACTIVITY";"Activité économique";"71.11";"Activités d'architecture"
"ACTIVITY";"Activité économique";"71.2";"Activités de contrôle et analyses techniques"
"ACTIVITY";"Activité économique";"71.20";"Activités de contrôle et analyses techniques"
"ACTIVITY";"Activité économique";"72";"Recherche-développement scientifique"
"ACTIVITY";"Activité économique";"26.30Z";"Fabrication d'équipements de communication"
"ACTIVITY";"Activité économique";"24.33";"Profilage à froid par formage ou pliage"
"ACTIVITY";"Activité économique";"43.13";"Forages et sondages"
"ACTIVITY";"Activité économique";"08.99";"Autres activités extractives n.c.a."
"ACTIVITY";"Activité économique";"A10_FZ";"Construction"
"ACTIVITY";"Activité économique";"38.11";"Collecte des déchets non dangereux"
"ACTIVITY";"Activité économique";"23.13Z";"Fabrication de verre creux"
"ACTIVITY";"Activité économique";"15.2";"Fabrication de chaussures"
"ACTIVITY";"Activité économique";"10.89Z";"Fabrication d'autres produits alimentaires n.c.a."
"ACTIVITY";"Activité économique";"46.43";"Commerce de gros d'appareils électroménagers"
"ACTIVITY";"Activité économique";"20.20";"Fabrication de pesticides et d'autres produits agrochimiques"
"ACTIVITY";"Activité économique";"38.21";"Traitement et élimination des déchets non dangereux"
"ACTIVITY";"Activité économique";"20.11";"Fabrication de gaz industriels"
"ACTIVITY";"Activité économique";"13.20";"Tissage"
"ACTIVITY";"Activité économique";"20.20Z";"Fabrication de pesticides et d'autres produits agrochimiques"
"ACTIVITY";"Activité économique";"08.11";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"ACTIVITY";"Activité économique";"26.60";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"ACTIVITY";"Activité économique";"28.99B";"Fabrication d'autres machines spécialisées"
"ACTIVITY";"Activité économique";"26.80Z";"Fabrication de supports magnétiques et optiques"
"ACTIVITY";"Activité économique";"20.52Z";"Fabrication de colles"
"ACTIVITY";"Activité économique";"25.40Z";"Fabrication d'armes et de munitions"
"ACTIVITY";"Activité économique";"16.10";"Sciage et rabotage du bois"
"ACTIVITY";"Activité économique";"41.20B";"Construction d'autres bâtiments"
"ACTIVITY";"Activité économique";"10.62";"Fabrication de produits amylacés"
"ACTIVITY";"Activité économique";"42.21Z";"Construction de réseaux pour fluides"
"ACTIVITY";"Activité économique";"28.41Z";"Fabrication de machines-outils pour le travail des métaux"
"ACTIVITY";"Activité économique";"24.3";"Fabrication d'autres produits de première transformation de l'acier"
"ACTIVITY";"Activité économique";"43.32A";"Travaux de menuiserie bois et PVC"
"ACTIVITY";"Activité économique";"C32";"Autres industries manufacturières"
"ACTIVITY";"Activité économique";"15.12";"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"ACTIVITY";"Activité économique";"33.13Z";"Réparation de matériels électroniques et optiques"
"ACTIVITY";"Activité économique";"24.54";"Fonderie d'autres métaux non ferreux"
"ACTIVITY";"Activité économique";"A88_41";"Construction de bâtiments"
"ACTIVITY";"Activité économique";"73.12";"Régie publicitaire de médias"
"ACTIVITY";"Activité économique";"14.19";"Fabrication d'autres vêtements et accessoires"
"ACTIVITY";"Activité économique";"17.11";"Fabrication de pâte à papier"
"ACTIVITY";"Activité économique";"23.19";"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"ACTIVITY";"Activité économique";"24.51";"Fonderie de fonte"
"ACTIVITY";"Activité économique";"13.94";"Fabrication de ficelles, cordes et filets"
"ACTIVITY";"Activité économique";"A38_CH";"Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"43.21";"Installation électrique"
"ACTIVITY";"Activité économique";"37.00";"Collecte et traitement des eaux usées"
"ACTIVITY";"Activité économique";"22.22";"Fabrication d'emballages en matières plastiques"
"ACTIVITY";"Activité économique";"39.0";"Dépollution et autres services de gestion des déchets"
"ACTIVITY";"Activité économique";"38.11Z";"Collecte des déchets non dangereux"
"ACTIVITY";"Activité économique";"A38_CB";"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"27.4";"Fabrication d'appareils d'éclairage électrique"
"ACTIVITY";"Activité économique";"20.3";"Fabrication de peintures, vernis, encres et mastics"
"ACTIVITY";"Activité économique";"20.30Z";"Fabrication de peintures, vernis, encres et mastics"
"ACTIVITY";"Activité économique";"32.4";"Fabrication de jeux et jouets"
"ACTIVITY";"Activité économique";"25.62B";"Mécanique industrielle"
"ACTIVITY";"Activité économique";"24.44";"Métallurgie du cuivre"
"ACTIVITY";"Activité économique";"23.43Z";"Fabrication d'isolateurs et pièces isolantes en céramique"
"ACTIVITY";"Activité économique";"25.21Z";"Fabrication de radiateurs et de chaudières pour le chauffage central"
"ACTIVITY";"Activité économique";"10.1";"Transformation et conservation de la viande et préparation de produits à base de viande"
"ACTIVITY";"Activité économique";"24.34";"Tréfilage à froid"
"ACTIVITY";"Activité économique";"23.70";"Taille, façonnage et finissage de pierres"
"ACTIVITY";"Activité économique";"26.2";"Fabrication d'ordinateurs et d'équipements périphériques"
"ACTIVITY";"Activité économique";"18.14Z";"Reliure et activités connexes"
"ACTIVITY";"Activité économique";"31.09B";"Fabrication d'autres meubles et industries connexes de l'ameublement"
"ACTIVITY";"Activité économique";"20.53";"Fabrication d'huiles essentielles"
"ACTIVITY";"Activité économique";"25.72";"Fabrication de serrures et de ferrures"
"ACTIVITY";"Activité économique";"23.13";"Fabrication de verre creux"
"ACTIVITY";"Activité économique";"43.11Z";"Travaux de démolition"
"ACTIVITY";"Activité économique";"33.12";"Réparation de machines et équipements mécaniques"
"ACTIVITY";"Activité économique";"13.92Z";"Fabrication d'articles textiles, sauf habillement"
"ACTIVITY";"Activité économique";"13.95";"Fabrication de non-tissés, sauf habillement"
"ACTIVITY";"Activité économique";"10.5";"Fabrication de produits laitiers"
"ACTIVITY";"Activité économique";"43.91";"Travaux de couverture"
"ACTIVITY";"Activité économique";"77.29";"Location et location-bail d'autres biens personnels et domestiques"
"ACTIVITY";"Activité économique";"18.13Z";"Activités de pré-presse"
"ACTIVITY";"Activité économique";"20.30";"Fabrication de peintures, vernis, encres et mastics"
"ACTIVITY";"Activité économique";"26.40";"Fabrication de produits électroniques grand public"
"ACTIVITY";"Activité économique";"36.00";"Captage, traitement et distribution d'eau"
"ACTIVITY";"Activité économique";"31.01Z";"Fabrication de meubles de bureau et de magasin"
"ACTIVITY";"Activité économique";"28.13";"Fabrication d'autres pompes et compresseurs"
"ACTIVITY";"Activité économique";"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmission"
"ACTIVITY";"Activité économique";"25.2";"Fabrication de réservoirs, citernes et conteneurs métalliques"
"ACTIVITY";"Activité économique";"47.11A";"Commerce de détail de produits surgelés"
"ACTIVITY";"Activité économique";"MIG_COG";"MIG - biens de consommation"
"ACTIVITY";"Activité économique";"46.46Z";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques"
"ACTIVITY";"Activité économique";"38.22Z";"Traitement et élimination des déchets dangereux"
"ACTIVITY";"Activité économique";"10.92Z";"Fabrication d'aliments pour animaux de compagnie"
"ACTIVITY";"Activité économique";"33.13";"Réparation de matériels électroniques et optiques"
"ACTIVITY";"Activité économique";"14.12";"Fabrication de vêtements de travail"
"ACTIVITY";"Activité économique";"39.00";"Dépollution et autres services de gestion des déchets"
"ACTIVITY";"Activité économique";"42.22Z";"Construction de réseaux électriques et de télécommunications"
"ACTIVITY";"Activité économique";"17.23Z";"Fabrication d'articles de papeterie"
"ACTIVITY";"Activité économique";"25.94";"Fabrication de vis et de boulons"
"ACTIVITY";"Activité économique";"23.64Z";"Fabrication de mortiers et bétons secs"
"ACTIVITY";"Activité économique";"13.10Z";"Préparation de fibres textiles et filature"
"ACTIVITY";"Activité économique";"23.44";"Fabrication d'autres produits céramiques à usage technique"
"ACTIVITY";"Activité économique";"27.52Z";"Fabrication d'appareils ménagers non électriques"
"ACTIVITY";"Activité économique";"10.91";"Fabrication d'aliments pour animaux de ferme"
"ACTIVITY";"Activité économique";"21.1";"Fabrication de produits pharmaceutiques de base"
"ACTIVITY";"Activité économique";"25.71";"Fabrication de coutellerie"
"ACTIVITY";"Activité économique";"23.49";"Fabrication d'autres produits céramiques"
"ACTIVITY";"Activité économique";"13.91Z";"Fabrication d'étoffes à mailles"
"ACTIVITY";"Activité économique";"A10_CZ";"Industrie manufacturière"
"ACTIVITY";"Activité économique";"42.9";"Construction d'autres ouvrages de génie civil"
"ACTIVITY";"Activité économique";"43.29A";"Travaux d'isolation"
"ACTIVITY";"Activité économique";"10.52";"Fabrication de glaces et sorbets"
"ACTIVITY";"Activité économique";"75.00";"Activités vétérinaires"
"ACTIVITY";"Activité économique";"77.11";"Location et location-bail de voitures et de véhicules automobiles légers"
"ACTIVITY";"Activité économique";"72.19";"Recherche-développement en autres sciences physiques et naturelles"
"ACTIVITY";"Activité économique";"72.11";"Recherche-développement en biotechnologie"
"ACTIVITY";"Activité économique";"72.2";"Recherche-développement en sciences humaines et sociales"
"ACTIVITY";"Activité économique";"72.1";"Recherche-développement en sciences physiques et naturelles"
"ACTIVITY";"Activité économique";"75.0";"Activités vétérinaires"
"ACTIVITY";"Activité économique";"77.31";"Location et location-bail de machines et équipements agricoles"
"ACTIVITY";"Activité économique";"77.3";"Location et location-bail d'autres machines, équipements et biens"
"ACTIVITY";"Activité économique";"75";"Activités vétérinaires"
"ACTIVITY";"Activité économique";"77.32";"Location et location-bail de machines et équipements pour la construction"
"ACTIVITY";"Activité économique";"74.9";"Autres activités spécialisées, scientifiques et techniques n.c.a."
"ACTIVITY";"Activité économique";"74.30";"Traduction et interprétation"
"ACTIVITY";"Activité économique";"74.90";"Autres activités spécialisées, scientifiques et techniques n.c.a."
"ACTIVITY";"Activité économique";"77.12";"Location et location-bail de camions"
"ACTIVITY";"Activité économique";"74.3";"Traduction et interprétation"
"ACTIVITY";"Activité économique";"77.21";"Location et location-bail d'articles de loisirs et de sport"
"ACTIVITY";"Activité économique";"77.2";"Location et location-bail de biens personnels et domestiques"
"ACTIVITY";"Activité économique";"73.20";"Études de marché et sondages"
"ACTIVITY";"Activité économique";"74.2";"Activités photographiques"
"ACTIVITY";"Activité économique";"74.1";"Activités spécialisées de design"
"ACTIVITY";"Activité économique";"74.10";"Activités spécialisées de design"
"ACTIVITY";"Activité économique";"74.20";"Activités photographiques"
"ACTIVITY";"Activité économique";"73.2";"Études de marché et sondages"
"ACTIVITY";"Activité économique";"73.1";"Publicité"
"ACTIVITY";"Activité économique";"72.20";"Recherche-développement en sciences humaines et sociales"
"ACTIVITY";"Activité économique";"M73";"Publicité et études de marché"
"ACTIVITY";"Activité économique";"73.11";"Activités des agences de publicité"
"ACTIVITY";"Activité économique";"28.99";"Fabrication d'autres machines d'usage spécifique n.c.a."
"ACTIVITY";"Activité économique";"42.1";"Construction de routes et de voies ferrées"
"ACTIVITY";"Activité économique";"16.22";"Fabrication de parquets assemblés"
"ACTIVITY";"Activité économique";"32.99";"Autres activités manufacturières n.c.a."
"ACTIVITY";"Activité économique";"24.45Z";"Métallurgie des autres métaux non ferreux"
"ACTIVITY";"Activité économique";"24.33Z";"Profilage à froid par formage ou pliage"
"ACTIVITY";"Activité économique";"13.95Z";"Fabrication de non-tissés, sauf habillement"
